Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,null,null,null,null,null,null
2014-10-01,4486.649902,4641.509766,4116.600098,4630.740234,4630.740234,50136190000
2014-11-01,4633.709961,4810.859863,4594.919922,4791.629883,4791.629883,32967990000
2014-12-01,4777.729980,4814.950195,4547.310059,4736.049805,4736.049805,39587090000
2015-01-01,4760.240234,4777.009766,4563.109863,4635.240234,4635.240234,38719030000
2015-02-01,4650.600098,4989.250000,4580.459961,4963.529785,4963.529785,35773090000
2015-03-01,4973.430176,5042.140137,4825.930176,4900.879883,4900.879883,41204240000
2015-04-01,4894.359863,5119.830078,4844.390137,4941.419922,4941.419922,37409760000
2015-05-01,4966.319824,5111.540039,4888.169922,5070.029785,5070.029785,34288670000
2015-06-01,5094.939941,5164.359863,4956.229980,4986.870117,4986.870117,41338820000
2015-07-01,5029.049805,5231.939941,4901.509766,5128.279785,5128.279785,40633420000
2015-08-01,5134.339844,5175.259766,4292.140137,4812.709961,4812.709961,45767180000
2015-09-01,4673.609863,4960.870117,4487.060059,4620.160156,4620.160156,41503920000
2015-10-01,4624.459961,5095.689941,4552.339844,5053.750000,5053.750000,42348240000
2015-11-01,5065.640137,5163.470215,4908.660156,5108.669922,5108.669922,36834860000
2015-12-01,5129.640137,5176.770020,4871.589844,5007.410156,5007.410156,40617940000
2016-01-01,4897.649902,4926.729980,4313.390137,4613.950195,4613.950195,44877130000
2016-02-01,4587.589844,4636.930176,4209.759766,4557.950195,4557.950195,43108650000
2016-03-01,4596.009766,4899.140137,4581.750000,4869.850098,4869.850098,40738880000
2016-04-01,4842.549805,4969.319824,4740.839844,4775.359863,4775.359863,38014300000
2016-05-01,4786.549805,4951.450195,4678.379883,4948.049805,4948.049805,38803240000
2016-06-01,4928.970215,4980.140137,4574.250000,4842.669922,4842.669922,44213900000
2016-07-01,4837.180176,5175.810059,4786.009766,5162.129883,5162.129883,36050040000
2016-08-01,5167.419922,5275.740234,5109.799805,5213.220215,5213.220215,38754780000
2016-09-01,5218.279785,5342.879883,5097.799805,5312.000000,5312.000000,40054600000
2016-10-01,5300.290039,5340.520020,5169.759766,5189.140137,5189.140137,34644850000
2016-11-01,5199.770020,5403.859863,5034.410156,5323.680176,5323.680176,41870720000
2016-12-01,5323.879883,5512.370117,5238.209961,5444.500000,5444.500000,40597960000
2017-01-01,5425.620117,5669.609863,5397.990234,5614.790039,5614.790039,36027970000
2017-02-01,5654.509766,5867.890137,5616.399902,5825.439941,5825.439941,36709560000
2017-03-01,5874.859863,5928.060059,5769.390137,5911.740234,5911.740234,43937720000
2017-04-01,5917.319824,6074.040039,5805.149902,6047.609863,6047.609863,33793200000
2017-05-01,6067.560059,6221.990234,5996.810059,6198.520020,6198.520020,42285390000
2017-06-01,6215.910156,6341.700195,6087.810059,6140.419922,6140.419922,48689910000
2017-07-01,6173.290039,6460.839844,6081.959961,6348.120117,6348.120117,36063120000
2017-08-01,6372.160156,6435.270020,6177.189941,6428.660156,6428.660156,41236800000
2017-09-01,6442.169922,6477.770020,6334.589844,6380.160156,6380.160156,30507810000
